create_timestamp,modify_timestamp,job_id,task_id,instance_num,status_task,plan_cpu,plan_mem,start_timestamp,end_timestamp,machineID,status_instance,seq_no,total_seq_no,real_cpu_max,real_cpu_avg,real_mem_max,real_mem_avg
50088,50096,497,2532,265,Running,55.0,0.0160070406129474,50088,50096,1036.0,Running,1,1,,,,
50088,50096,497,2531,561,Running,55.0,0.0083296663474231,50088,50096,19.0,Running,1,1,,,,
52991,53015,663,3398,150,Running,100.0,0.0054047058214479,52991,53015,661.0,Running,1,1,,,,
16244,16844,962,4974,1,Running,100.0,0.0107058732171977,16244,16844,1185.0,Running,1,1,,,,
16244,16844,962,4975,1,Running,100.0,0.0107058732171977,16244,16844,156.0,Running,1,1,,,,
16244,16844,962,4960,1,Running,100.0,0.0107058732171977,16244,16844,543.0,Running,1,1,,,,
16244,16844,962,4976,1,Running,100.0,0.0107058732171977,16244,16844,495.0,Running,1,1,,,,
37448,37685,1071,5932,23,Running,50.0,0.0081225894960267,37448,37685,1275.0,Running,1,1,,,,
37448,37685,1071,5929,19,Running,50.0,0.0084590893795459,37448,37685,419.0,Running,1,1,,,,
37448,37685,1071,5933,7,Running,50.0,0.0080294049128982,37448,37685,1047.0,Running,1,1,,,,
37448,37685,1071,5926,9,Running,50.0,0.0086402816245178,37448,37685,266.0,Running,1,1,,,,
37448,37685,1071,5927,60,Running,50.0,0.0057360287836823,37448,37685,901.0,Running,1,1,,,,
37448,37685,1071,5931,11,Running,50.0,0.0082002433153003,37448,37685,647.0,Running,1,1,,,,
37448,37685,1071,5928,83,Running,50.0,0.0084797970646856,37448,37685,724.0,Running,1,1,,,,
46018,46097,1078,5957,75,Running,50.0,0.0090337276421712,46026,46097,40.0,Running,1,1,,,,
46018,46097,1078,5958,55,Running,50.0,0.0083089586622835,46026,46097,842.0,Running,1,1,,,,
37860,37863,1182,6709,31,Running,50.0,0.0078482126679263,37860,37863,548.0,Running,1,1,,,,
37860,37863,1182,6696,1,Running,50.0,0.00411047550022,37860,37863,364.0,Running,1,1,,,,
37860,37863,1182,6706,1,Running,50.0,0.0054047058214479,37860,37863,155.0,Running,1,1,,,,
37860,37863,1182,6711,1,Running,50.0,0.0054047058214479,37860,37863,793.0,Running,1,1,,,,
37860,37863,1182,6714,1,Running,50.0,0.0054047058214479,37860,37863,934.0,Running,1,1,,,,
37860,37863,1182,6713,53,Running,50.0,0.0083659047964175,37860,37863,360.0,Running,1,1,,,,
37860,37863,1182,6702,1,Running,50.0,0.0054047058214479,37860,37863,497.0,Running,1,1,,,,
37860,37863,1182,6701,35,Running,50.0,0.0078430357466414,37860,37863,1148.0,Running,1,1,,,,
37860,37863,1182,6712,1,Running,50.0,0.0054047058214479,37861,37863,380.0,Running,1,1,,,,
37860,37863,1182,6704,1,Running,50.0,0.0040535293660859,37861,37863,726.0,Running,1,1,,,,
37860,37863,1182,6705,37,Running,50.0,0.008396966324127,37860,37863,504.0,Running,1,1,,,,
37860,37863,1182,6697,1,Running,50.0,0.0041052985789351,37860,37863,170.0,Running,1,1,,,,
37860,37863,1182,6700,21,Running,50.0,0.0160070406129474,37860,37863,1118.0,Running,1,1,,,,
26821,26866,1262,7339,425,Running,50.0,0.0086558123883726,26821,26866,883.0,Running,1,1,,,,
26821,26866,1262,7336,429,Running,50.0,0.0102658349079802,26821,26866,131.0,Running,1,1,,,,
26821,26866,1262,7337,23,Running,50.0,0.0133564569150726,26822,26866,679.0,Running,1,1,,,,
32901,33502,1292,7544,7,Running,50.0,0.0078844511169207,32901,33502,1300.0,Running,1,1,,,,
32901,33502,1292,7547,436,Running,50.0,0.0085263893562498,32901,33502,37.0,Running,1,1,,,,
32901,33502,1292,7543,33,Running,50.0,0.0133564569150726,32901,33502,1061.0,Running,1,1,,,,
22370,22402,1317,7736,31,Running,50.0,0.0082571894494344,22370,22402,1163.0,Running,1,1,,,,
23953,23976,1354,7840,20,Running,50.0,0.0160070406129474,23954,23976,624.0,Running,1,1,,,,
23953,23976,1354,7839,133,Running,50.0,0.0133564569150726,23954,23976,1003.0,Running,1,1,,,,
39302,39364,1375,7911,25,Running,50.0,0.0086247508606631,39303,39364,946.0,Running,1,1,,,,
39302,39364,1375,7900,103,Running,50.0,0.0085936893329536,39303,39364,246.0,Running,1,1,,,,
39302,39364,1375,7909,25,Running,50.0,0.008692050837367,39303,39364,900.0,Running,1,1,,,,
